Código;Nombre;Estado;Organismo;Unidad de compra;Región;Comuna;Publicada;Cierra;Días para cierre;Monto estimado;Moneda;Tipo;Categorías;Qué piden;Visita a terreno;Entrega antecedentes;Duración contrato;Renovable;Prohibiciones;Contraparte;Descripción;Bases
986278-18-L126;CONTRATO DE SUMINISTRO DE INSUMOS INFORMÁTICOS, AÑO 2026, CFT DE LA REGIÓN DE LA ARAUCANÍA;Publicada;CENTRO DE FORMACION TECNICA DE LA REGION DE LA ARAUCANIA;Sub-Unidad Adquisiciones y Contrataciones Públicas;Región Metropolitana de Santiago;Vitacura;19-08-2026 17:39;31-08-2026 16:00;-2;4522419.0;CLP;L1;Equipos, accesorios y suministros de oficina / Maquinarias, suministros y accesorios de oficina / Suministros para impresora, fax y fotocopiadora;1 Global · Tóner;;;;No;;;El presente contrato tiene por objeto la prestación del servicio para adquirir insumos informáticos, requeridos por el Centro de Formación Técnica de la Región de La Araucanía y sus sedes, conforme a las condiciones establecidas en las presentes bases, la oferta adjudicada y la respectiva orden de compra. Los bienes serán solicitados de manera eventual según necesidades institucionales, sin que exista obligación de compra mínima por parte del CFT.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=986278-18-L126
3134-72-LR26;CONTRATAR EL DESARROLLO DE UN SISTEMA INFORMÁTICO DE EMISIÓN DE DOCUMENTOS DE COBRO Y GESTIÓN DE COBRANZA Y POSTERIOR SOPORTE POR UN PERIODO DE 48 MESES.;Publicada;DIRECCION DE ABASTECIMIENTO DE LA ARMADA;DIRECCION GENERAL DEL TERRITORIO MARITIMO Y M.M.;Región de Valparaíso ;Valparaíso;30-07-2026 11:06;31-08-2026 17:00;-2;434042600.0;CLP;LR;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Programas de desarrollo;1 Unidad no definida · Software de entorno de desarrollo;;;60 meses;No;;JEFE DEPTO FINANZAS DGTM;"La Dirección General del Territorio Marítimo y de Marina Mercante, llama a licitación pública para contratar el desarrollo de un sistema informático de emisión de documentos de cobro llamados Órdenes de Ingresos y la gestión de cobranza de estos, los cuales deben ser emitidos por la Autoridad Marítima a través de plataformas en línea y de forma presencial.
b.-	El objetivo principal de esta licitación, es contar con un contrato para el desarrollo de un Sistema que permita generar órdenes de ingreso y egreso, realizar el seguimiento y cobro, para finalmente efectuar la recaudación. Para la emisión, el Sistema debe obtener datos desde bases de datos y otros sistemas propios, con los cuales debe tener una integración y donde cada uno de los hechos económicos queden registrados en línea, mediante una integración con el sistema contable externo. 
c.-	Esta Dirección General, al tener la necesidad permanente de contar con un sistema y contrato que disponga este servicio, y debido a los recursos involucrados y al tiempo de implementación del Sistema, se hace necesario que este contrato cuente con la opción de renovación por una sola vez y por el mismo plazo, en los mismos términos, requis";https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3134-72-LR26
869591-10-LP26;CONTRATACIÓN DEL SERVICIO DE DISEÑO Y DESARROLLO DEL NUEVO PORTAL API Y CAPA DE DATOS DE NEGOCIO PARA MERCADO PÚBLICO;Publicada;DIRECCION DE COMPRAS Y CONTRATACION PUBLICA;Calidad del Gasto en las Compras Públicas;Región Metropolitana de Santiago;Santiago Centro;12-08-2026 10:35;01-09-2026 15:00;-1;;CLF;LP;Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios de recursos humanos / Contratación de personal;1 Unidad · Desarrolladores de software;;;12 meses;No;ver clausula 10 de las bases especiales;Christian Zarria;CONTRATACIÓN DEL SERVICIO DE DISEÑO Y DESARROLLO DEL NUEVO PORTAL API Y CAPA DE DATOS DE NEGOCIO PARA MERCADO PÚBLICO;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=869591-10-LP26
1233623-38-LE26;ADQUISICIÓN DE SOFTWARE AEC COLLECTION 2025;Publicada;Servicio Local de Educación Pública Licancabur;Servicio Local de Educación Pública Licancabur;Región de Antofagasta ;Calama;24-08-2026 18:43;02-09-2026 15:00;0;19800000.0;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software para trabajo en redes;1 Global · Software de acceso;;;;No;;Barbara Lira Mac-Donald;El Servicio Local de Educación Pública Licancabur convoca a licitación pública para la adquisición de nueve licencias de software AEC Collection 2025, equivalente o superior, destinadas a la Subdirección de Infraestructura y Mantenimiento, Unidad de Diseño y Planificación.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1233623-38-LE26
652-37-LP26;ARRIENDO SERVIDOR INFORMATICO PARA PROGRAMA SISSA.;Publicada;SERVICIO DE SALUD ARAUCO;SERVICIO DE SALUD ARAUCO;Región del Biobío ;Lebu;13-08-2026 19:04;02-09-2026 15:00;0;;CLP;LP;Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos informáticos y accesorios / Computadores;1 Unidad · Servidores;;;36 meses;No;;JEFE DEPARTAMENTO TIC SSA;El Servicio de Salud Arauco a través de su Dirección, requiere contratar el CONVENIO ARRIENDO DE SERVIDOR INFORMATICO PROGRAMA SISSA, SERVICIO DE SALUD ARAUCO PARA EL SERVICIO DE SALUD ARAUCANIA SUR, por un periodo de 36 meses destinado al Programa SISSA.  Dicho servidor deberá instalarse en la Sala de Servidores del Servicio de Salud Araucanía Sur, ubicada en calle Prat Numero 969, de la ciudad de Temuco.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=652-37-LP26
609-25-LE26;ACTUALIZACIÓN DEL SGSI DE INDAP- CIBERSEGURIDAD;Publicada;INSTITUTO DE DESARROLLO AGROPECUARIO;Instituto de Desarrollo Agropecuario - INDAP;Región Metropolitana de Santiago;Santiago;21-08-2026 12:48;02-09-2026 15:30;0;22000000.0;CLP;LE;Servicios profesionales, administrativos y consultorías de gestión empresarial / Consultorías o asesorías en gestión empresarial / Servicios de consultoría en gestión de empresas;1 Unidad · Asesorías Informáticas;;;3 meses;No;;José Miguel Reyes Canales;Consultoría para actualización del SGSI de INDAP, modelado de procesos, matriz de riesgo, identificación e implementación de controles y otros referidos a la Ley Marco de Ciberseguridad.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=609-25-LE26
1075956-9-LE26;42 CUPOS - CURSO NUEVA LEY DE PROTECCIÓN DE DATOS PERSONALES: INTRODUCCIÓN Y PRINCIPIOS” SEGÚN BASES DE LICITACIÓN Y ANEXOS QUE SE ADJUNTAN - PRESUPUESTO ESTIMADO  15.000.000. -;Publicada;DIRECCION DE LOGISTICA DE CARABINEROS;DEPTO ANALISIS FINANCIERO PROCESOS Y RIESGOS;Región Metropolitana de Santiago;Santiago;19-08-2026 16:29;02-09-2026 17:00;0;15000000.0;CLP;LE;Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios de recursos humanos / Consultorías para el desarrollo de recursos humanos;42 Unidad · Formación, capacitación y entrenamiento de personal;;;;No;;YESICA SEPÚLVEDA NAVARRO.;"42 CUPOS - CURSO NUEVA LEY DE PROTECCIÓN DE DATOS PERSONALES: ""INTRODUCCIÓN Y PRINCIPIOS”, SEGÚN BASES DE LICITACIÓN Y ANEXOS QUE SE ADJUNTAN - PRESUPUESTO ESTIMADO $ 15.000.000. -";https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1075956-9-LE26
1057532-72-LE26;SUSCRIPCIÓN LICENCIAS SOFTWARE CAD ARCHICAD COLLABORATE O EQUIVALENTE PARA EL SERVICIO DE SALUD OSORNO;Publicada;SERVICIO DE SALUD OSORNO;Bienes y Servicios;Región de los Lagos ;Osorno;27-08-2026 14:34;02-09-2026 17:01;0;;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software específico para la industria;6 Unidad · Software de diseño asistido por computador (CAD);;;12 meses;No;DE ACUERDO A NUMERAL 7.7 DE LAS BASES ADJUNTAS;Bruno Ojeda Alvarez;"Se requiere la Contratación de 06 licencia de suscripción a 12 meses para software CAD Archicad Collaborate o equivalente, los cuales se cancelarán en 12 cuotas.
Lo anterior para normalizar y cumplir la Ley de propiedades intelectuales usando licencias originales para el trabajo de diseño, creación, modificación, análisis y documentar proyectos de inversión y construcción del Servicio de Salud Osorno.";https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1057532-72-LE26
564953-62-LP26;ACTUALIZACIÓN PLATAFORMA ERP PARA LA CORPORACIÓN;Publicada;Corporación de Educación y Salud de Las Condes;Corporación de Educación y Salud de Las Condes;Región Metropolitana de Santiago;Las Condes;11-08-2026 14:44;02-09-2026 17:59;0;250000000.0;CLP;LP;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de planificación de recursos empresariales (ERP) y contabilidad financiera;1 Unidad · Software de planificación de recursos empresariales (ERP);;;40 meses;No;;Cristián Seguel;El objetivo de la presente licitación es contratar el servicio de implementación y soporte de ERP Dynamics Business Central;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=564953-62-LP26
3945-20-LE26;ADQUISICION SERVICIO DE SISTEMA INFORMATIVO DE GESTION DOCUMENTAL - MUNICIPALIDAD LOS ALAMOS;Publicada;I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL;Administración y Finanzas;Región del Biobío ;Los Alamos;24-08-2026 15:04;03-09-2026 12:01;1;70000000.0;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de entorno operativo;1 Global · Software de sistema operativo;;;36 meses;No;;Encargado de soporte informatico;"La   necesidad      de      contratar    “ADQUISICION SERVICIO   DE 	SISTEMA     INFORMATIVO    DE     GESTION   DOCUMENTAL – MUNICIPALIDAD   LOS     ALAMOS”, conforme     a           Bases  
			Administrativas, Técnicas y Anexos adjuntos.";https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3945-20-LE26
